"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 14 01:41:00 UTC 2024","Sun Jul 14 01:41:17 UTC 2024","16383","tests.integration.ha_tests","test_replication","","","","test_consistency","Write to primary, read data from secondaries (check consistency)."
"passed","Sun Jul 14 01:39:02 UTC 2024","Sun Jul 14 01:39:02 UTC 2024","7","tests.integration","test_charm","","","","test_database_is_up[1]",""
"skipped","Sun Jul 14 01:56:42 UTC 2024","Sun Jul 14 01:56:42 UTC 2024","0","tests.integration.ha_tests","test_smoke","","","","test_app_resources_conflicts_v2","Test application deploy in dirty environment with garbage storage from another application."
"passed","Sun Jul 14 01:52:52 UTC 2024","Sun Jul 14 01:52:53 UTC 2024","681","tests.integration.new_relations","test_new_relations","","","","test_user_with_extra_roles","Test superuser actions and the request for more permissions."
"passed","Sun Jul 14 01:36:02 UTC 2024","Sun Jul 14 01:36:46 UTC 2024","43969","tests.integration.relations","test_relations","","","","test_modern_endpoint_with_multiple_related_endpoints",""
"passed","Sun Jul 14 01:40:24 UTC 2024","Sun Jul 14 01:40:26 UTC 2024","2109","tests.integration.ha_tests","test_upgrade_from_stable","","","","test_pre_upgrade_check","Test that the pre-upgrade-check action runs successfully."
"passed","Sun Jul 14 01:29:41 UTC 2024","Sun Jul 14 01:54:38 UTC 2024","1496473","tests.integration","test_tls","","","","test_tls_enabled","Test that TLS is enabled when relating to the TLS Certificates Operator."
"passed","Sun Jul 14 01:28:34 UTC 2024","Sun Jul 14 01:39:03 UTC 2024","629297","tests.integration.ha_tests","test_replication","","","","test_build_and_deploy","Build and deploy three unit of PostgreSQL."
"passed","Sun Jul 14 01:36:46 UTC 2024","Sun Jul 14 01:48:20 UTC 2024","694076","tests.integration.ha_tests","test_upgrade","","","","test_deploy_latest","Simple test to ensure that the PostgreSQL and application charms get deployed."
"skipped","Sun Jul 14 02:13:31 UTC 2024","Sun Jul 14 02:13:31 UTC 2024","0","tests.integration.ha_tests","test_async_replication","","","","test_scaling","Test that async replication works when scaling the clusters."
"passed","Sun Jul 14 02:07:25 UTC 2024","Sun Jul 14 02:09:15 UTC 2024","110494","tests.integration.new_relations","test_new_relations","","","","test_admin_role","Test that the admin role gives access to all the databases."
"passed","Sun Jul 14 01:34:10 UTC 2024","Sun Jul 14 01:36:02 UTC 2024","111848","tests.integration.relations","test_relations","","","","test_legacy_endpoint_with_multiple_related_endpoints",""
"passed","Sun Jul 14 02:06:35 UTC 2024","Sun Jul 14 02:07:25 UTC 2024","49569","tests.integration.new_relations","test_new_relations","","","","test_relation_with_no_database_name","Test that a relation with no database name doesn't block the charm."
"skipped","Sun Jul 14 01:42:25 UTC 2024","Sun Jul 14 01:42:25 UTC 2024","0","tests.integration.ha_tests","test_self_healing","","","","test_freeze_db_process[postgres]",""
"passed","Sun Jul 14 01:39:05 UTC 2024","Sun Jul 14 01:39:07 UTC 2024","2051","tests.integration","test_charm","","","","test_settings_are_correct[2]",""
"skipped","Sun Jul 14 01:42:25 UTC 2024","Sun Jul 14 01:42:25 UTC 2024","0","tests.integration.ha_tests","test_self_healing","","","","test_forceful_restart_without_data_and_transaction_logs","A forceful restart with deleted data and without transaction logs (forced clone)."
"passed","Sun Jul 14 01:29:21 UTC 2024","Sun Jul 14 01:46:35 UTC 2024","1034348","tests.integration.ha_tests","test_async_replication","","","","test_deploy_async_replication_setup","Build and deploy two PostgreSQL cluster in two separate models to test async replication."
"passed","Sun Jul 14 01:32:06 UTC 2024","Sun Jul 14 01:38:38 UTC 2024","391720","tests.integration.new_relations","test_relations_coherence","","","","test_relations","Test that check relation data."
"skipped","Sun Jul 14 01:42:25 UTC 2024","Sun Jul 14 01:42:25 UTC 2024","0","tests.integration.ha_tests","test_self_healing","","","","test_restart_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]",""
"passed","Sun Jul 14 01:48:20 UTC 2024","Sun Jul 14 01:48:22 UTC 2024","2152","tests.integration.ha_tests","test_upgrade","","","","test_pre_upgrade_check","Test that the pre-upgrade-check action runs successfully."
"passed","Sun Jul 14 02:02:53 UTC 2024","Sun Jul 14 02:02:55 UTC 2024","2068","tests.integration.ha_tests","test_async_replication","","","","test_data_integrator_creds_keep_on_working",""
"skipped","Sun Jul 14 01:42:25 UTC 2024","Sun Jul 14 01:42:25 UTC 2024","0","tests.integration.ha_tests","test_self_healing","","","","test_network_cut","Completely cut and restore network."
"passed","Sun Jul 14 01:48:06 UTC 2024","Sun Jul 14 01:52:50 UTC 2024","283541","tests.integration.new_relations","test_new_relations","","","","test_read_only_endpoint_in_scaled_up_cluster","Test that there is read-only endpoint in a scaled up cluster."
