"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","50","test_exporter_is_up[2]","tests.integration","Sun Sep 15 01:45:51 UTC 2024","passed","Sun Sep 15 01:45:51 UTC 2024","","test_charm","",""
"","46","test_exporter_is_up[1]","tests.integration","Sun Sep 15 01:45:51 UTC 2024","passed","Sun Sep 15 01:45:51 UTC 2024","","test_charm","",""
"","0","test_invalid_extra_user_roles","tests.integration.new_relations","Sun Sep 15 02:04:03 UTC 2024","skipped","Sun Sep 15 02:04:03 UTC 2024","","test_new_relations","",""
"","527225","test_deploy","tests.integration","Sun Sep 15 01:36:14 UTC 2024","passed","Sun Sep 15 01:45:01 UTC 2024","","test_subordinates","",""
"","1038","test_settings_are_correct[1]","tests.integration","Sun Sep 15 01:45:52 UTC 2024","passed","Sun Sep 15 01:45:54 UTC 2024","","test_charm","",""
"Test async replication between two PostgreSQL clusters.","14","test_async_replication","tests.integration.ha_tests","Sun Sep 15 01:57:03 UTC 2024","broken","Sun Sep 15 01:57:03 UTC 2024","","test_async_replication","",""
"Test that relation data, like connection data, is updated correctly when scaling.","656864","test_relation_data_is_updated_correctly_when_scaling","tests.integration.new_relations","Sun Sep 15 01:53:07 UTC 2024","broken","Sun Sep 15 02:04:03 UTC 2024","","test_new_relations","",""
"Test that user can't connect with empty password.","1029","test_db_connection_with_empty_password","tests.integration","Sun Sep 15 01:50:43 UTC 2024","passed","Sun Sep 15 01:50:44 UTC 2024","","test_password_rotation","",""
"Check that writes in one cluster are not replicated to another cluster.","264083","test_no_data_replicated_between_clusters","tests.integration.ha_tests","Sun Sep 15 01:55:55 UTC 2024","broken","Sun Sep 15 02:00:19 UTC 2024","","test_replication","",""
"Test that is possible to restore a backup to another PostgreSQL cluster.","0","test_restore_on_new_cluster","tests.integration","Sun Sep 15 02:08:06 UTC 2024","skipped","Sun Sep 15 02:08:06 UTC 2024","","test_backups","",""
"Test that async replication fails back correctly.","0","test_async_replication_failover_in_secondary_cluster","tests.integration.ha_tests","Sun Sep 15 02:02:04 UTC 2024","skipped","Sun Sep 15 02:02:04 UTC 2024","","test_async_replication","",""
"Test basic functionality of database relation interface.","182","test_database_relation_with_charm_libraries","tests.integration.new_relations","Sun Sep 15 01:50:22 UTC 2024","broken","Sun Sep 15 01:50:22 UTC 2024","","test_new_relations","",""
"Test that there is read-only endpoint in a scaled up cluster.","449236","test_read_only_endpoint_in_scaled_up_cluster","tests.integration.new_relations","Sun Sep 15 01:42:53 UTC 2024","failed","Sun Sep 15 01:50:22 UTC 2024","","test_new_relations","",""
"Build the charm and deploy it.","539503","test_deploy_active","tests.integration","Sun Sep 15 01:37:03 UTC 2024","passed","Sun Sep 15 01:46:03 UTC 2024","","test_password_rotation","",""
"Completely cut and restore network.","0","test_network_cut","tests.integration.ha_tests","Sun Sep 15 01:51:25 UTC 2024","skipped","Sun Sep 15 01:51:25 UTC 2024","","test_self_healing","",""
"Test that the admin role gives access to all the databases.","0","test_admin_role","tests.integration.new_relations","Sun Sep 15 02:04:03 UTC 2024","skipped","Sun Sep 15 02:04:03 UTC 2024","","test_new_relations","",""
"Test that an application can connect to different clusters of the same database.","24940","test_an_application_can_connect_to_multiple_database_clusters","tests.integration.new_relations","Sun Sep 15 01:51:52 UTC 2024","passed","Sun Sep 15 01:52:17 UTC 2024","","test_new_relations","",""
"Test that relation data, like connection data, is updated correctly when scaling.","854201","test_relation_data_is_updated_correctly_when_scaling","tests.integration","Sun Sep 15 01:58:48 UTC 2024","passed","Sun Sep 15 02:13:03 UTC 2024","","test_db","",""
"Build and deploy one unit of PostgreSQL and then test config with wrong parameters.","284088","test_config_parameters","tests.integration","Sun Sep 15 01:36:29 UTC 2024","passed","Sun Sep 15 01:41:13 UTC 2024","","test_config","",""
"Test switching over to the second cluster.","0","test_switchover","tests.integration.ha_tests","Sun Sep 15 02:02:04 UTC 2024","skipped","Sun Sep 15 02:02:04 UTC 2024","","test_async_replication","",""
"","0","test_nextcloud_db_blocked","tests.integration.new_relations","Sun Sep 15 02:04:03 UTC 2024","skipped","Sun Sep 15 02:04:03 UTC 2024","","test_new_relations","",""
"Test that check relation data.","493967","test_relations","tests.integration.new_relations","Sun Sep 15 01:36:11 UTC 2024","passed","Sun Sep 15 01:44:25 UTC 2024","","test_relations_coherence","",""
"","0","test_sentry_db_blocked","tests.integration","Sun Sep 15 02:13:03 UTC 2024","skipped","Sun Sep 15 02:13:03 UTC 2024","","test_db","",""
"Build and deploy one unit of PostgreSQL and then test the available plugins.","385857","test_plugins","tests.integration","Sun Sep 15 01:36:43 UTC 2024","passed","Sun Sep 15 01:43:09 UTC 2024","","test_plugins","",""
"","0","test_canonical_livepatch_onprem_bundle_db","tests.integration","Sun Sep 15 02:16:25 UTC 2024","skipped","Sun Sep 15 02:16:25 UTC 2024","","test_db","",""
"Build and deploy two units of PostgreSQL in GCP, test backup and restore actions.","1896522","test_backup_gcp","tests.integration","Sun Sep 15 01:36:29 UTC 2024","broken","Sun Sep 15 02:08:06 UTC 2024","","test_backups","",""
"Remove unit with force while storage is alive.","238759","test_app_force_removal","tests.integration.ha_tests","Sun Sep 15 01:36:51 UTC 2024","passed","Sun Sep 15 01:40:49 UTC 2024","","test_smoke","",""
"A forceful restart with deleted data and without transaction logs (forced clone).","0","test_forceful_restart_without_data_and_transaction_logs","tests.integration.ha_tests","Sun Sep 15 01:51:25 UTC 2024","skipped","Sun Sep 15 01:51:25 UTC 2024","","test_self_healing","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","0","test_full_cluster_restart[SIGTERM-/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]","tests.integration.ha_tests","Sun Sep 15 01:51:25 UTC 2024","skipped","Sun Sep 15 01:51:25 UTC 2024","","test_self_healing","",""
"","7","test_upgrade_from_edge","tests.integration.ha_tests","Sun Sep 15 01:50:25 UTC 2024","broken","Sun Sep 15 01:50:25 UTC 2024","","test_upgrade","",""
"Test that the pre-upgrade-check action runs successfully.","2121","test_pre_upgrade_check","tests.integration.ha_tests","Sun Sep 15 01:50:23 UTC 2024","passed","Sun Sep 15 01:50:25 UTC 2024","","test_upgrade","",""
"Test that passwords don't get exposed on postgresql logs.","6448","test_no_password_exposed_on_logs","tests.integration","Sun Sep 15 01:50:52 UTC 2024","passed","Sun Sep 15 01:50:59 UTC 2024","","test_password_rotation","",""
"Test that there is no read-only endpoint in a standalone cluster.","34","test_no_read_only_endpoint_in_standalone_cluster","tests.integration.new_relations","Sun Sep 15 01:42:53 UTC 2024","broken","Sun Sep 15 01:42:53 UTC 2024","","test_new_relations","",""
"Build and deploy two PostgreSQL cluster in two separate models to test async replication.","801108","test_deploy_async_replication_setup","tests.integration.ha_tests","Sun Sep 15 01:43:42 UTC 2024","passed","Sun Sep 15 01:57:03 UTC 2024","","test_async_replication","",""
"","0","test_fail_and_rollback","tests.integration.ha_tests","Sun Sep 15 01:55:29 UTC 2024","skipped","Sun Sep 15 01:55:29 UTC 2024","","test_upgrade","",""
"Simple test to ensure that the PostgreSQL and application charms get deployed.","674595","test_deploy_latest","tests.integration.ha_tests","Sun Sep 15 01:39:09 UTC 2024","passed","Sun Sep 15 01:50:23 UTC 2024","","test_upgrade","",""
"Build and deploy three unit of PostgreSQL.","592940","test_build_and_deploy","tests.integration.ha_tests","Sun Sep 15 01:35:53 UTC 2024","passed","Sun Sep 15 01:45:46 UTC 2024","","test_replication","",""
"Test that the pre-upgrade-check action runs successfully.","1097","test_pre_upgrade_check","tests.integration.ha_tests","Sun Sep 15 01:45:46 UTC 2024","passed","Sun Sep 15 01:45:47 UTC 2024","","test_upgrade_from_stable","",""
"","19452","test_extensions_blocking","tests.integration","Sun Sep 15 02:16:06 UTC 2024","passed","Sun Sep 15 02:16:25 UTC 2024","","test_db","",""
"Test updating from stable channel.","4","test_upgrade_from_stable","tests.integration.ha_tests","Sun Sep 15 01:45:47 UTC 2024","broken","Sun Sep 15 01:45:47 UTC 2024","","test_upgrade_from_stable","",""
"","93079","test_scale_down","tests.integration","Sun Sep 15 01:50:58 UTC 2024","passed","Sun Sep 15 01:52:31 UTC 2024","","test_subordinates","",""
"Test that an application can request additional databases using the same interface.","23752","test_an_application_can_request_multiple_databases","tests.integration.new_relations","Sun Sep 15 01:52:43 UTC 2024","broken","Sun Sep 15 01:53:07 UTC 2024","","test_new_relations","",""
"Verifies that database units with attached storage correctly repurpose storage.

    It is not enough to verify that Juju attaches the storage. Hence test checks that the
    postgresql properly uses the storage that was provided. (ie. doesn't just re-sync everything
    from primary, but instead computes a diff between current storage and primary storage.)
    ","206","test_storage_re_use","tests.integration.ha_tests","Sun Sep 15 01:46:20 UTC 2024","broken","Sun Sep 15 01:46:20 UTC 2024","","test_self_healing","",""
"Write to primary, read data from secondaries (check consistency).","1040","test_consistency","tests.integration.ha_tests","Sun Sep 15 01:50:51 UTC 2024","broken","Sun Sep 15 01:50:52 UTC 2024","","test_replication","",""
"Test data persists through a primary deletion.","287196","test_persist_data_through_primary_deletion","tests.integration","Sun Sep 15 02:08:36 UTC 2024","passed","Sun Sep 15 02:13:23 UTC 2024","","test_charm","",""
"Test application deploy in dirty environment with garbage storage from another application.","0","test_app_resources_conflicts_v2","tests.integration.ha_tests","Sun Sep 15 02:02:25 UTC 2024","skipped","Sun Sep 15 02:02:25 UTC 2024","","test_smoke","",""
"Test that the charm can handle invalid and valid backup configurations.","0","test_invalid_config_and_recovery_after_fixing_it","tests.integration","Sun Sep 15 02:08:06 UTC 2024","skipped","Sun Sep 15 02:08:06 UTC 2024","","test_backups","",""
"Test data is replicated to new units after a scale up.","1252619","test_scale_down_and_up","tests.integration","Sun Sep 15 01:47:43 UTC 2024","passed","Sun Sep 15 02:08:36 UTC 2024","","test_charm","",""
"This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    ","0","test_full_cluster_restart[SIGTERM-postgres]","tests.integration.ha_tests","Sun Sep 15 01:51:25 UTC 2024","skipped","Sun Sep 15 01:51:25 UTC 2024","","test_self_healing","",""
"","47","test_exporter_is_up[0]","tests.integration","Sun Sep 15 01:45:51 UTC 2024","passed","Sun Sep 15 01:45:51 UTC 2024","","test_charm","",""
"","5","test_database_is_up[0]","tests.integration","Sun Sep 15 01:45:51 UTC 2024","passed","Sun Sep 15 01:45:51 UTC 2024","","test_charm","",""
"Test that two different application connect to the database with different credentials.","89332","test_two_applications_doesnt_share_the_same_relation_data","tests.integration.new_relations","Sun Sep 15 01:50:23 UTC 2024","broken","Sun Sep 15 01:51:52 UTC 2024","","test_new_relations","",""
